DATE,A4102C1Q027SBEA
2011-07-01,6689.659
2011-10-01,6645.66
2012-01-01,6844.206
2012-04-01,6884.319
2012-07-01,6914.235
2012-10-01,7101.772
2013-01-01,7052.213
2013-04-01,7111.514
2013-07-01,7121.511
2013-10-01,7205.135
2014-01-01,7367.727
2014-04-01,7418.852
2014-07-01,7512.63
2014-10-01,7643.904
2015-01-01,7755.938
2015-04-01,7840.672
2015-07-01,7913.262
2015-10-01,7968.523
2016-01-01,8003.469
2016-04-01,8050.156
2016-07-01,8130.424
2016-10-01,8224.858
2017-01-01,8321.619
2017-04-01,8413.159
2017-07-01,8529.371
2017-10-01,8677.025
2018-01-01,8772.521
2018-04-01,8853.105
2018-07-01,8980.362
2018-10-01,9037.208
2019-01-01,9237.655
2019-04-01,9287.186
2019-07-01,9338.698
2019-10-01,9477.595
2020-01-01,9613.32
2020-04-01,8985.927
2020-07-01,9417.8
2020-10-01,9791.114
2021-01-01,9888.103
2021-04-01,10189.116
2021-07-01,10469.465
