"Data Source","World Development Indicators",

"Last Updated Date","2022-07-20",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Aruba","ABW","Adjusted net national income per capita (constant 2015 US$)","NY.ADJ.NNTY.PC.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","24171.2111482763","","","","","","",
"Africa Eastern and Southern","AFE","Adjusted net national income per capita (constant 2015 US$)","NY.ADJ.NNTY.PC.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","957.107836722518","978.979852652805","999.515095948026","1052.41022017902","1113.76776493306","1116.01851776907","1052.46584599511","1086.61931476655","1114.36230031843","1141.4227437553","1140.92057487318","1162.3567989264","1200.40671885695","1240.88528504471","1325.22750801297","1286.78922124543","1311.9400193145","1332.86447010105","1235.54868611366","",
"Afghanistan","AFG","Adjusted net national income per capita (constant 2015 US$)","NY.ADJ.NNTY.PC.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","516.946743414225","","","","","","",
"Africa Western and Central","AFW","Adjusted net national income per capita (constant 2015 US$)","NY.ADJ.NNTY.PC.KD","","","","","","","","","","","","","","","","","","","","","","1722.78107577333","1511.60375253554","1199.66819051966","1036.90342340076","1045.9812481977","989.083528284202","909.587339820733","955.77054217296","885.975385848757","928.203774106177","997.034255330955","997.145353520667","851.477275750858","831.070849841743","870.671229801598","923.210733683892","935.840286861773","906.751764534852","949.407920185972","969.622865723811","1067.32362001674","1182.64699520134","1240.30476589845","1214.81477144485","1270.80235250241","1432.83121802459","1448.29414723793","1369.90536163366","1442.82563217065","1464.28374742137","1400.2696769511","1549.19334372463","1558.19723611081","1608.9036744972","1592.364184436","1501.31589832902","1460.54985737823","1475.34263356902","1460.66871725813","1472.34520103935","",
"Angola","AGO","Adjusted net national income per capita (constant 2015 US$)","NY.ADJ.NNTY.PC.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1650.85557358219","1738.69044305065","1621.43316919521","1769.7769772032","1966.77907200101","1813.03853507988","1378.8932733667","1779.9407732741","1953.15224875455","2234.13467146246","2456.4123073355","2607.87918393506","2835.53527988042","3226.8962049721","5029.43695629483","4274.65806613111","2834.84488383236","2903.25802559761","2138.16392154124","",
"Albania","ALB","Adjusted net national income per capita (constant 2015 US$)","NY.ADJ.NNTY.PC.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1310.20365861857","1393.48718313906","1612.38175831381","1805.17646644913","2003.28258647401","2075.77261330672","2191.21979890356","2332.8219064676","2433.29673647422","2622.41173770916","2739.2252015052","2939.59517973619","2975.1344508505","3143.301300899","3159.91000612185","3137.62267511796","3228.62618007887","3256.23946134305","3267.25802694689","3374.98547619007","3451.5119312428","3587.90060752877","3622.2103981176","","",
"Andorra","AND","Adjusted net national income per capita (constant 2015 US$)","NY.ADJ.NNTY.PC.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Adjusted net national income per capita (constant 2015 US$)","NY.ADJ.NNTY.PC.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3626.21288889228","3699.71677940499","3781.08963227054","4028.07043956812","4269.29075802258","4680.81854666247","4912.86508754354","5309.64198659933","4796.63212883732","5090.98738791205","5496.40923387578","5697.59400069169","5751.87208466234","5720.6685180261","5243.22717772783","5160.71445838684","5273.65545097831","5433.78323865061","5494.75164136686","4969.92743422234","",
"United Arab Emirates","ARE","Adjusted net national income per capita (constant 2015 US$)","NY.ADJ.NNTY.PC.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","57134.5606835336","54128.8648057106","53556.6430925414","53882.5973067519","50655.3409809478","51506.2827323752","47315.911565368","43510.3846284852","32689.6076017105","30652.9977605493","34014.3663652439","34806.9581052031","37245.8995731901","39256.8670534854","35658.3945236997","35707.4491538469","38079.5436578823","36994.4709805936","36461.3480895937","33870.4934441352","",
"Argentina","ARG","Adjusted net national income per capita (constant 2015 US$)","NY.ADJ.NNTY.PC.KD","","","","","","","","","","","7769.95903146998","8431.21595321119","8228.85182691296","8573.33672555176","8716.78241895942","8581.97344814993","8267.09364932228","8599.62325995546","8020.08689812487","8438.53678088945","8631.98913609282","7944.0727864818","7256.78284061427","7497.18144865868","7533.60238463819","6909.90737846893","7417.40314523227","7393.14058528117","7248.28504620723","6186.89910701247","6124.45319946132","6973.20754204346","7862.94813434059","8157.95961723919","8452.95540212566","7933.95111424166","8396.13995830608","8911.43029757953","9088.97650274743","8457.80318276671","8300.60036252877","7798.34136621274","6836.94737969726","7489.90117879488","7354.77349537173","7848.95040622356","9408.41127025249","10464.8046132462","10980.0047526938","10063.4988487564","11111.9280480681","11990.0862019015","11668.3375787241","11780.8437117726","11257.5939189037","11708.2536882274","11342.8591336272","11865.0738209658","11085.3705169908","10434.4704937823","9677.17685425069","",
"Armenia","ARM","Adjusted net national income per capita (constant 2015 US$)","NY.ADJ.NNTY.PC.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","928.871915564017","1003.9427356042","1085.3465931349","1132.95092385006","1175.91155570104","1173.16233203825","1278.7234248373","1475.68278988587","1778.23230034706","1973.04222857391","2281.31410933635","2635.0317288648","3107.13245071273","3425.641397758","2690.84343124885","2744.01732435956","2818.56580902044","3178.77604506846","3271.94120686877","3295.88826018735","3235.96276814106","3176.98908592585","3494.26369817537","3632.38549231203","3833.22518195414","3370.07111142703","",
"American Samoa","ASM","Adjusted net national income per capita (constant 2015 US$)","NY.ADJ.NNTY.PC.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
