DATE,IABSNNCB
2011-07-01,1988.498
2011-10-01,2000.822
2012-01-01,2037.771
2012-04-01,2036.899
2012-07-01,2086.958
2012-10-01,2099.254
2013-01-01,2103.502
2013-04-01,2106.138
2013-07-01,2135.099
2013-10-01,2173.998
2014-01-01,2219.741
2014-04-01,2239.808
2014-07-01,2252.286
2014-10-01,2233.493
2015-01-01,2223.251
2015-04-01,2254.702
2015-07-01,2255.201
2015-10-01,2253.817
2016-01-01,2260.028
2016-04-01,2303.358
2016-07-01,2301.97
2016-10-01,2340.444
2017-01-01,2374.816
2017-04-01,2383.284
2017-07-01,2407.987
2017-10-01,2446.59
2018-01-01,2494.567
2018-04-01,2533.173
2018-07-01,2560.354
2018-10-01,2571.492
2019-01-01,2614.66
2019-04-01,2629.548
2019-07-01,2630.633
2019-10-01,2643.193
2020-01-01,2598.69
2020-04-01,2543.809
2020-07-01,2592.547
2020-10-01,2666.065
2021-01-01,2784.227
2021-04-01,2901.896
2021-07-01,2963.547
