DATE,QBPBSTASIAS
2011-07-01,372713.467
2011-10-01,368005.368
2012-01-01,371393.382
2012-04-01,366714.756
2012-07-01,364142.455
2012-10-01,366537.679
2013-01-01,367041.291
2013-04-01,367073.666
2013-07-01,367118.63
2013-10-01,368317.893
2014-01-01,365489.908
2014-04-01,365579.337
2014-07-01,363934.768
2014-10-01,360176.356
2015-01-01,355861.485
2015-04-01,359999.789
2015-07-01,356958.319
2015-10-01,360397.266
2016-01-01,359026.825
2016-04-01,359510.603
2016-07-01,363423.244
2016-10-01,369230.596
2017-01-01,370341.39
2017-04-01,376686.728
2017-07-01,377924.811
2017-10-01,383246.939
2018-01-01,388639.968
2018-04-01,391631.405
2018-07-01,396982.641
2018-10-01,398636.52
2019-01-01,399195.523
2019-04-01,397036.543
2019-07-01,393916.038
2019-10-01,408719.091
2020-01-01,391669.439
2020-04-01,386431.719
2020-07-01,385496.964
2020-10-01,386755.141
2021-01-01,392016.505
2021-04-01,393756.137
2021-07-01,396651.382
